Player 0, Player 1, Player 2, Player 3
59, 17, 6, 18, 
53, 18, 12, 17, 
48, 19, 13, 20, 
51, 17, 11, 21, 
45, 25, 19, 11, 
56, 12, 14, 18, 
54, 12, 18, 16, 
58, 13, 13, 16, 
47, 22, 10, 21, 
49, 16, 20, 15, 
53, 18, 14, 15, 
61, 16, 12, 11, 
49, 17, 18, 16, 
48, 13, 21, 18, 
48, 26, 17, 9, 
55, 17, 18, 10, 
58, 13, 12, 17, 
53, 15, 17, 15, 
41, 20, 13, 26, 
59, 11, 18, 12, 
60, 14, 12, 14, 
51, 21, 12, 16, 
53, 15, 19, 13, 
47, 20, 15, 18, 
52, 13, 19, 16, 
55, 13, 10, 22, 
51, 17, 21, 11, 
61, 14, 8, 17, 
45, 24, 15, 16, 
54, 17, 13, 16, 
50, 19, 13, 18, 
55, 12, 9, 24, 
57, 14, 12, 17, 
52, 14, 18, 16, 
50, 17, 21, 12, 
64, 14, 11, 11, 
49, 14, 19, 18, 
46, 18, 23, 13, 
53, 19, 17, 11, 
51, 23, 12, 14, 
47, 16, 19, 18, 
53, 23, 13, 11, 
47, 14, 19, 20, 
54, 18, 18, 10, 
52, 19, 13, 16, 
50, 18, 16, 16, 
53, 16, 19, 12, 
57, 17, 14, 12, 
55, 17, 15, 13, 
51, 18, 13, 18, 
44, 20, 21, 15, 
55, 14, 15, 16, 
58, 17, 15, 10, 
64, 11, 13, 12, 
51, 18, 18, 13, 
57, 17, 10, 16, 
52, 9, 23, 16, 
55, 15, 13, 17, 
46, 15, 21, 18, 
49, 16, 16, 19, 
54, 17, 15, 14, 
53, 12, 15, 20, 
39, 26, 14, 21, 
49, 19, 16, 16, 
56, 16, 11, 17, 
51, 17, 17, 15, 
54, 16, 18, 12, 
55, 9, 15, 21, 
56, 22, 14, 8, 
53, 20, 12, 15, 
47, 17, 14, 22, 
47, 18, 17, 18, 
48, 18, 17, 17, 
58, 16, 16, 10, 
58, 14, 11, 17, 
37, 23, 22, 18, 
55, 16, 15, 14, 
58, 12, 15, 15, 
56, 14, 13, 17, 
54, 16, 17, 13, 
54, 17, 12, 17, 
50, 21, 14, 15, 
59, 15, 10, 16, 
48, 13, 22, 17, 
49, 14, 17, 20, 
46, 21, 22, 11, 
56, 12, 19, 13, 
47, 13, 23, 17, 
41, 17, 18, 24, 
45, 22, 20, 13, 
45, 17, 25, 13, 
55, 16, 14, 15, 
59, 17, 12, 12, 
50, 13, 18, 19, 
52, 17, 19, 12, 
60, 14, 12, 14, 
53, 20, 15, 12, 
47, 19, 18, 16, 
52, 15, 17, 16, 
62, 8, 22, 8, 
52, 16, 15, 17, 
47, 25, 12, 16, 
56, 12, 12, 20, 
48, 15, 16, 21, 
62, 11, 14, 13, 
58, 20, 13, 9, 
53, 16, 18, 13, 
53, 16, 19, 12, 
54, 12, 19, 15, 
58, 15, 14, 13, 
60, 19, 14, 7, 
49, 20, 14, 17, 
49, 13, 17, 21, 
46, 19, 17, 18, 
44, 11, 24, 21, 
55, 19, 14, 12, 
48, 21, 12, 19, 
47, 19, 26, 8, 
51, 17, 21, 11, 
54, 13, 20, 13, 
57, 15, 14, 14, 
48, 16, 17, 19, 
58, 16, 10, 16, 
59, 16, 12, 13, 
55, 19, 12, 14, 
57, 14, 14, 15, 
49, 19, 11, 21, 
54, 14, 17, 15, 
57, 17, 14, 12, 
53, 13, 15, 19, 
50, 25, 12, 13, 
52, 18, 19, 11, 
54, 13, 15, 18, 
53, 17, 17, 13, 
59, 18, 9, 14, 
56, 17, 16, 11, 
49, 16, 18, 17, 
45, 17, 15, 23, 
59, 13, 15, 13, 
48, 18, 17, 17, 
59, 9, 21, 11, 
54, 16, 13, 17, 
46, 14, 20, 20, 
46, 22, 18, 14, 
52, 15, 20, 13, 
52, 24, 9, 15, 
49, 13, 20, 18, 
52, 15, 16, 17, 
62, 16, 11, 11, 
62, 13, 10, 15, 
52, 15, 17, 16, 
64, 11, 12, 13, 
49, 17, 15, 19, 
56, 15, 15, 14, 
58, 15, 11, 16, 
51, 18, 12, 19, 
51, 19, 16, 14, 
50, 16, 16, 18, 
46, 24, 13, 17, 
51, 8, 18, 23, 
54, 10, 11, 25, 
49, 16, 16, 19, 
52, 19, 13, 16, 
47, 17, 13, 23, 
48, 17, 17, 18, 
40, 18, 13, 29, 
51, 22, 12, 15, 
52, 16, 14, 18, 
47, 20, 14, 19, 
48, 19, 15, 18, 
49, 12, 18, 21, 
54, 17, 15, 14, 
50, 18, 16, 16, 
52, 21, 12, 15, 
50, 21, 15, 14, 
44, 21, 14, 21, 
61, 14, 11, 14, 
50, 16, 14, 20, 
53, 12, 22, 13, 
50, 15, 20, 15, 
49, 23, 16, 12, 
54, 17, 13, 16, 
47, 22, 16, 15, 
46, 16, 19, 19, 
53, 15, 15, 17, 
50, 18, 17, 15, 
64, 13, 13, 10, 
57, 16, 14, 13, 
43, 17, 20, 20, 
43, 20, 26, 11, 
63, 12, 11, 14, 
50, 14, 20, 16, 
55, 16, 13, 16, 
50, 21, 18, 11, 
56, 14, 10, 20, 
57, 7, 17, 19, 
60, 13, 9, 18, 
